"Date","Close"
"2017-06-12","11.7"
"2017-06-19","10.5"
"2017-06-26","10.5"
"2017-07-03","10.4"
"2017-07-10","11.35"
"2017-07-17","10.7"
"2017-07-24","11.5"
"2017-07-31","12.65"
"2017-08-07","14.1"
"2017-08-14","14.3"
"2017-08-21","14.4"
"2017-08-28","18.700001"
"2017-09-04","18"
"2017-09-11","17.6"
"2017-09-18","17.1"
"2017-09-25","17.4"
"2017-10-02","17.1"
"2017-10-09","19.200001"
"2017-10-16","21.9"
"2017-10-23","22.4"
"2017-10-30","26.5"
"2017-11-06","27.9"
"2017-11-13","26.700001"
"2017-11-20","25.1"
"2017-11-27","25.700001"
"2017-12-04","24.4"
"2017-12-11","20"
"2017-12-18","18"
"2017-12-25","19.5"
"2018-01-01","20"
"2018-01-08","21.299999"
"2018-01-15","23.799999"
"2018-01-22","29.4"
"2018-01-29","29.6"
"2018-02-05","29"
"2018-02-12","30.799999"
"2018-02-19","29.200001"
"2018-02-26","30"
"2018-03-05","27"
"2018-03-12","26.200001"
"2018-03-19","26.6"
"2018-03-26","25.6"
"2018-04-02","25.9"
"2018-04-09","25.700001"
"2018-04-16","25.799999"
"2018-04-23","25.6"
"2018-04-30","25"
"2018-05-07","25.700001"
"2018-05-14","24.4"
"2018-05-21","25"
"2018-05-28","24.799999"
"2018-06-04","25.700001"
"2018-06-11","29.299999"
"2018-06-18","27"
"2018-06-25","26.299999"
"2018-07-02","26.9"
"2018-07-09","26.9"
"2018-07-16","26.799999"
"2018-07-23","28.4"
"2018-07-30","29"
"2018-08-06","30.1"
"2018-08-13","30.1"
"2018-08-20","30.1"
"2018-08-27","29.299999"
"2018-09-03","25.1"
"2018-09-10","25"
"2018-09-17","25"
"2018-09-24","24"
"2018-10-01","23.6"
"2018-10-08","21.4"
"2018-10-15","23.6"
"2018-10-22","23.700001"
"2018-10-29","23.9"
"2018-11-05","25"
"2018-11-12","25"
"2018-11-19","23.700001"
"2018-11-26","24.799999"
"2018-12-03","23.700001"
"2018-12-10","23.5"
"2018-12-17","23.200001"
"2018-12-24","24.1"
"2018-12-31","23.9"
"2019-01-07","23.9"
"2019-01-14","24"
"2019-01-21","24"
"2019-01-28","24.1"
"2019-02-04","24"
"2019-02-11","24.9"
"2019-02-18","24.200001"
"2019-02-25","24"
"2019-03-04","24.799999"
"2019-03-11","28.299999"
"2019-03-18","39.799999"
"2019-03-25","44.700001"
"2019-04-01","53"
"2019-04-08","53.799999"
"2019-04-15","65"
"2019-04-22","54"
"2019-04-29","66.400002"
"2019-05-06","61"
"2019-05-13","59.599998"
"2019-05-20","59.599998"
"2019-05-27","55"
"2019-06-03","57.599998"
"2019-06-10","51.799999"
"2019-06-17","54.799999"
"2019-06-24","54.200001"
"2019-07-01","52.799999"
"2019-07-08","53.599998"
"2019-07-15","52"
"2019-07-22","55"
"2019-07-29","59"
"2019-08-05","59.599998"
"2019-08-12","64"
"2019-08-19","69.400002"
"2019-08-26","61.799999"
"2019-09-02","61.799999"
"2019-09-09","58"
"2019-09-16","58"
"2019-09-23","58"
"2019-09-30","57.200001"
"2019-10-07","56.799999"
"2019-10-14","55.400002"
"2019-10-21","51"
"2019-10-28","49"
"2019-11-04","53.400002"
"2019-11-11","57.599998"
"2019-11-18","54"
"2019-11-25","54.599998"
"2019-12-02","57"
"2019-12-09","56.599998"
"2019-12-16","56.599998"
"2019-12-23","58"
"2019-12-30","58"
"2020-01-06","57.200001"
"2020-01-13","55"
"2020-01-20","53.599998"
"2020-01-27","53.200001"
"2020-02-03","55"
"2020-02-10","52.799999"
"2020-02-17","45.900002"
"2020-02-24","41.299999"
"2020-03-02","39.5"
"2020-03-09","30"
"2020-03-16","20.6"
"2020-03-23","23.700001"
"2020-03-30","24.5"
"2020-04-06","28.200001"
"2020-04-13","26.700001"
"2020-04-20","28.799999"
"2020-04-27","27"
"2020-05-04","28.5"